candidate,short_candidate,rule_id,coordinate,threshold,stratifier,stratum,stratum_order,delta_target,delta_removed,delta_source,contract_range,images,scored_gt_terminal
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,target_size,small,0,-0.15583891696423668,0.19025919025919025,0.021809792124993677,0.21206898238418392,178,3841
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,density,dense,2,-0.004636325518876827,0.029436290264199583,0.011185791565267778,0.04062208182946736,181,9080
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,density,moderate,1,-0.0010264927700930349,0.01038619319008005,0.016591853314375182,0.026978046504455233,180,4688
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,density,sparse,0,-0.0020521682547555153,0.008889158969372812,0.014130165991777743,0.023019324961150556,187,1529
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,nearest_neighbor,crowded,0,-0.009612195471451535,0.04113013701920076,0.012557959649134975,0.05368809666833574,170,7074
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,nearest_neighbor,dispersed,2,-0.0001691765848919058,0.0018156913261216934,0.014177716812978858,0.01599340813910055,170,2812
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,nearest_neighbor,intermediate,1,-0.0007166546604656654,0.004752997898823219,0.013372197311057654,0.018125195209880873,170,5402
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,occlusion,high,2,-0.003744472315591274,0.020595087315430582,0.010899316696117212,0.031494404011547794,172,6563
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,occlusion,low,0,-0.005363439707962603,0.018509402345815884,0.011586431106065165,0.03009583345188105,181,3916
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,occlusion,middle,1,-0.0011209153468567656,0.02545862504934815,0.01748218530093293,0.04294081035028108,166,4818
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,target_size,large,2,-0.0005624716249774675,0.0006998206488342262,0.0067050422224982364,0.007404862871332463,168,3680
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,target_size,medium,1,-0.002900264018599441,0.006994709655137932,0.01556542436613273,0.02256013402127066,173,5746
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,target_size,small,0,-0.010397660155409216,0.04693662265340626,0.014720942747066035,0.06165756540047229,178,5871
