candidate,short_candidate,rule_id,coordinate,threshold,stratifier,stratum,stratum_order,images,scored_gt,tp,fp,fn,false_positives_per_image,false_negatives_per_100_scored_vehicles,confirmed_vehicles_per_100_scored_alerts,f1
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,target_size,large,2,168,3680,3450,432,230,2.5714285714285716,6.25,88.87171561051005,0.9124570219518646
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,target_size,medium,1,173,5746,5137,617,609,3.566473988439306,10.598677340758789,89.27702467848454,0.8933913043478261
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,target_size,small,0,178,5871,4819,606,1052,3.404494382022472,17.918582864929313,88.82949308755761,0.8532223796033994
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,density,dense,2,181,7183,6133,974,1050,5.3812154696132595,14.617847695948768,86.2952019136063,0.8583624912526242
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,density,moderate,1,180,3991,3379,502,612,2.7888888888888888,15.33450263091957,87.06518938417933,0.8584857723577236
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,density,sparse,0,187,1322,1067,184,255,0.983957219251337,19.28895612708018,85.29176658673062,0.8293820443062573
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,nearest_neighbor,crowded,0,170,5100,4167,713,933,4.194117647058824,18.294117647058822,85.38934426229508,0.8350701402805611
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,nearest_neighbor,dispersed,2,170,2665,2366,331,299,1.9470588235294117,11.21951219512195,87.72710418984056,0.8825065274151436
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,nearest_neighbor,intermediate,1,170,4723,4044,612,679,3.6,14.376455642600042,86.85567010309278,0.8623520631197356
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,occlusion,high,2,172,5301,4333,766,968,4.453488372093023,18.260705527259006,84.97744655814866,0.8332692307692308
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,occlusion,low,0,181,3286,2958,424,328,2.342541436464088,9.981740718198418,87.46303962152572,0.8872225554889022
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,occlusion,middle,1,166,3909,3288,468,621,2.819277108433735,15.886415963161934,87.53993610223642,0.8579256360078278
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,target_size,large,2,168,3618,3187,467,431,2.7797619047619047,11.912658927584301,87.21948549534757,0.8765126512651266
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,target_size,medium,1,173,5037,4273,632,764,3.653179190751445,15.167758586460195,87.11518858307849,0.8595855964594649
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,target_size,small,0,178,3841,3119,559,722,3.140449438202247,18.79718823223119,84.80152256661229,0.8296315999468015
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,density,dense,2,181,9080,7547,1138,1533,6.287292817679558,16.883259911894275,86.89694876223373,0.8496481846327048
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,density,moderate,1,180,4688,3898,546,790,3.033333333333333,16.851535836177476,87.71377137713772,0.8537012702584319
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,density,sparse,0,187,1529,1219,193,310,1.032085561497326,20.27468933943754,86.3314447592068,0.8289697381842911
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,nearest_neighbor,crowded,0,170,7074,5615,878,1459,5.1647058823529415,20.62482329657902,86.4777452641306,0.8277437900788679
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,nearest_neighbor,dispersed,2,170,2812,2477,335,335,1.9705882352941178,11.913229018492176,88.08677098150783,0.8808677098150782
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,nearest_neighbor,intermediate,1,170,5402,4569,660,833,3.8823529411764706,15.420214735283228,87.37808376362594,0.8595616592982787
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,occlusion,high,2,172,6563,5220,893,1343,5.191860465116279,20.463202803595916,85.39178799280222,0.8236036604607132
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,occlusion,low,0,181,3916,3457,453,459,2.5027624309392267,11.72114402451481,88.41432225063939,0.8834653718374649
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,occlusion,middle,1,166,4818,3987,529,831,3.1867469879518073,17.247820672478205,88.2860938883968,0.8542961217055924
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,target_size,large,2,168,3680,3229,472,451,2.8095238095238093,12.255434782608695,87.24669008376115,0.8749491938761685
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,target_size,medium,1,173,5746,4807,678,939,3.9190751445086707,16.341802993386704,87.63901549680948,0.8560235063663075
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,target_size,small,0,178,5871,4628,725,1243,4.073033707865169,21.17186169306762,86.45619278909022,0.8246614397719173
