candidate,short_candidate,rule_id,coordinate,threshold,stratifier,stratum,stratum_order,contract,images,valid_gt,scored_gt,tp,fp,fn,neutralized,f1,false_positives_per_image,false_negatives_per_100_scored_vehicles,confirmed_vehicles_per_100_scored_alerts
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,density,moderate,1,A,180,4959,4959,4298,852,661,0,0.8503313878721931,4.733333333333333,13.329300262149626,83.45631067961165
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,density,moderate,1,F,180,4959,4688,4176,974,512,0,0.848953039235617,5.411111111111111,10.921501706484642,81.0873786407767
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,density,moderate,1,R,180,4959,4688,4176,858,512,116,0.8590824933141329,4.766666666666667,10.921501706484642,82.95589988081049
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,density,moderate,1,S,180,4959,4688,4176,624,512,350,0.8802698145025295,3.466666666666667,10.921501706484642,87.0
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,density,sparse,0,A,187,1603,1603,1366,286,237,0,0.8393241167434716,1.5294117647058822,14.784778540237056,82.68765133171912
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,density,sparse,0,F,187,1603,1529,1323,329,206,0,0.8318138950015719,1.7593582887700534,13.472858077174624,80.08474576271186
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,density,sparse,0,R,187,1603,1529,1323,287,206,42,0.8429436126154827,1.53475935828877,13.472858077174624,82.17391304347827
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,density,sparse,0,S,187,1603,1529,1323,228,206,101,0.8590909090909091,1.2192513368983957,13.472858077174624,85.29980657640232
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,nearest_neighbor,crowded,0,A,170,8657,8657,6717,1412,1940,0,0.8003097819611581,8.305882352941177,22.40961071964884,82.63008980194365
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,nearest_neighbor,crowded,0,F,170,8657,7074,6033,2096,1041,0,0.7936591462211405,12.329411764705883,14.715860899067007,74.21577069750276
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,nearest_neighbor,crowded,0,R,170,8657,7074,6033,1404,1041,692,0.8315071325201572,8.258823529411766,14.715860899067007,81.12141992739008
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,nearest_neighbor,crowded,0,S,170,8657,7074,6033,1192,1041,904,0.8438352332330932,7.011764705882353,14.715860899067007,83.50173010380622
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,nearest_neighbor,dispersed,2,A,170,2834,2834,2609,448,225,0,0.8857579358343235,2.635294117647059,7.939308398023995,85.34510958456002
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,nearest_neighbor,dispersed,2,F,170,2834,2812,2598,459,214,0,0.885329698415403,2.7,7.610241820768136,84.98527968596663
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,nearest_neighbor,dispersed,2,R,170,2834,2812,2598,449,214,10,0.8868407578084997,2.6411764705882352,7.610241820768136,85.26419428946505
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,nearest_neighbor,dispersed,2,S,170,2834,2812,2598,343,214,116,0.9031809490700504,2.0176470588235293,7.610241820768136,88.33730023801428
