confidence,scale_threshold_px,band,source,candidate,domain,scale_threshold_norm
0.4,48.0,0.4369713725404995,aitod,aitod_baseline640,absolute,
0.4,64.0,0.44871116926724525,aitod,aitod_baseline640,absolute,
0.5,16.0,0.19935185249963966,aitod,aitod_baseline640,absolute,
0.5,20.0,0.29505948208888033,aitod,aitod_baseline640,absolute,
0.5,24.0,0.36781505321130414,aitod,aitod_baseline640,absolute,
0.5,28.0,0.39693091801780767,aitod,aitod_baseline640,absolute,
0.5,32.0,0.41128561998289354,aitod,aitod_baseline640,absolute,
0.5,40.0,0.4336033919917139,aitod,aitod_baseline640,absolute,
0.5,48.0,0.44914552498108185,aitod,aitod_baseline640,absolute,
0.5,64.0,0.4644783395416244,aitod,aitod_baseline640,absolute,
0.1,,0.00109296449270202,visdrone,visdrone_sahi640,normalized,0.005
0.1,,0.015550243521151419,visdrone,visdrone_sahi640,normalized,0.0075
0.1,,0.03127454461840906,visdrone,visdrone_sahi640,normalized,0.01
0.1,,0.07842539650018754,visdrone,visdrone_sahi640,normalized,0.015
0.1,,0.12959776519251254,visdrone,visdrone_sahi640,normalized,0.02
0.1,,0.23182998600404037,visdrone,visdrone_sahi640,normalized,0.03
0.15,,0.0011391584132222077,visdrone,visdrone_sahi640,normalized,0.005
0.15,,0.013389861805419234,visdrone,visdrone_sahi640,normalized,0.0075
0.15,,0.028587505759892218,visdrone,visdrone_sahi640,normalized,0.01
0.15,,0.07587428250389239,visdrone,visdrone_sahi640,normalized,0.015
0.15,,0.12804158833371482,visdrone,visdrone_sahi640,normalized,0.02
0.15,,0.2351056077145045,visdrone,visdrone_sahi640,normalized,0.03
0.2,,0.0017184459990102763,visdrone,visdrone_sahi640,normalized,0.005
0.2,,0.009808693435561122,visdrone,visdrone_sahi640,normalized,0.0075
0.2,,0.024296424172436604,visdrone,visdrone_sahi640,normalized,0.01
0.2,,0.07043516692598861,visdrone,visdrone_sahi640,normalized,0.015
0.2,,0.12298262818748185,visdrone,visdrone_sahi640,normalized,0.02
0.2,,0.23274802582096932,visdrone,visdrone_sahi640,normalized,0.03
0.25,,0.002595292714396291,visdrone,visdrone_sahi640,normalized,0.005
0.25,,0.005152320133528954,visdrone,visdrone_sahi640,normalized,0.0075
0.25,,0.01810527281905594,visdrone,visdrone_sahi640,normalized,0.01
0.25,,0.06129837096453872,visdrone,visdrone_sahi640,normalized,0.015
0.25,,0.11260674582559627,visdrone,visdrone_sahi640,normalized,0.02
0.25,,0.2233160901620087,visdrone,visdrone_sahi640,normalized,0.03
0.3,,0.0030669537528859037,visdrone,visdrone_sahi640,normalized,0.005
0.3,,0.0011481306099622168,visdrone,visdrone_sahi640,normalized,0.0075
0.3,,0.012257681868893422,visdrone,visdrone_sahi640,normalized,0.01
0.3,,0.051713106860904245,visdrone,visdrone_sahi640,normalized,0.015
0.3,,0.1013749510298586,visdrone,visdrone_sahi640,normalized,0.02
0.3,,0.21065940168487762,visdrone,visdrone_sahi640,normalized,0.03
0.35,,0.0033793564354033245,visdrone,visdrone_sahi640,normalized,0.005
0.35,,0.002760081273395887,visdrone,visdrone_sahi640,normalized,0.0075
0.35,,0.00642906762727169,visdrone,visdrone_sahi640,normalized,0.01
0.35,,0.041485175564462407,visdrone,visdrone_sahi640,normalized,0.015
0.35,,0.08780181525115238,visdrone,visdrone_sahi640,normalized,0.02
0.35,,0.19362982685472963,visdrone,visdrone_sahi640,normalized,0.03
0.4,,0.0037365610868207444,visdrone,visdrone_sahi640,normalized,0.005
0.4,,0.005496710217881007,visdrone,visdrone_sahi640,normalized,0.0075
0.4,,0.0012278017721236711,visdrone,visdrone_sahi640,normalized,0.01
0.4,,0.030599129481598153,visdrone,visdrone_sahi640,normalized,0.015
0.4,,0.07298128751087307,visdrone,visdrone_sahi640,normalized,0.02
0.4,,0.17511068045887945,visdrone,visdrone_sahi640,normalized,0.03
0.5,,0.004094661197112215,visdrone,visdrone_sahi640,normalized,0.005
0.5,,0.012818918850758587,visdrone,visdrone_sahi640,normalized,0.0075
0.5,,0.012896574105914937,visdrone,visdrone_sahi640,normalized,0.01
0.5,,0.003488597853469777,visdrone,visdrone_sahi640,normalized,0.015
0.5,,0.035300012229062205,visdrone,visdrone_sahi640,normalized,0.02
0.5,,0.12290804276901302,visdrone,visdrone_sahi640,normalized,0.03
0.1,,1.2405116457003817e-05,uavdt,uavdt_tiling,normalized,0.005
0.1,,0.00014032137791863963,uavdt,uavdt_tiling,normalized,0.0075
0.1,,0.0024098069088199225,uavdt,uavdt_tiling,normalized,0.01
