source,candidate,scale_mode,scale_threshold,small_object_policy,confidence,iou,matching,tp,fp,fn,neutralized_predictions,f1,images
visdrone,visdrone_control_asd1280,absolute,20.0,include_all,0.3,0.5,greedy_valid_gt_first_coco_crowd,13617,2302,3423,0,0.8262993416062381,548
visdrone,visdrone_control_asd1280,absolute,20.0,include_all,0.35,0.25,greedy_valid_gt_first_coco_crowd,13360,1477,3680,0,0.8382219154876557,548
visdrone,visdrone_control_asd1280,absolute,20.0,include_all,0.35,0.5,greedy_valid_gt_first_coco_crowd,13199,1638,3841,0,0.8281205885120934,548
visdrone,visdrone_control_asd1280,absolute,20.0,include_all,0.4,0.25,greedy_valid_gt_first_coco_crowd,12798,1015,4242,0,0.8296113830097559,548
visdrone,visdrone_control_asd1280,absolute,20.0,include_all,0.4,0.5,greedy_valid_gt_first_coco_crowd,12672,1141,4368,0,0.8214436197452436,548
visdrone,visdrone_control_asd1280,absolute,20.0,include_all,0.5,0.25,greedy_valid_gt_first_coco_crowd,11579,471,5461,0,0.7960811275352355,548
visdrone,visdrone_control_asd1280,absolute,20.0,include_all,0.5,0.5,greedy_valid_gt_first_coco_crowd,11533,517,5507,0,0.792918528704022,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_off,0.1,0.25,greedy_valid_gt_first_coco_crowd,11903,12768,593,0,0.640514434848118,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_off,0.1,0.5,greedy_valid_gt_first_coco_crowd,11663,13008,833,0,0.6275997524685877,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_off,0.15,0.25,greedy_valid_gt_first_coco_crowd,11687,9365,809,0,0.6967330392273757,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_off,0.15,0.5,greedy_valid_gt_first_coco_crowd,11478,9574,1018,0,0.6842732800763086,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_off,0.2,0.25,greedy_valid_gt_first_coco_crowd,11478,7301,1018,0,0.7340047961630696,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_off,0.2,0.5,greedy_valid_gt_first_coco_crowd,11285,7494,1211,0,0.7216626698641088,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_off,0.25,0.25,greedy_valid_gt_first_coco_crowd,11272,5901,1224,0,0.759850348848967,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_off,0.25,0.5,greedy_valid_gt_first_coco_crowd,11109,6064,1387,0,0.7488624490208635,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_off,0.3,0.25,greedy_valid_gt_first_coco_crowd,11029,4890,1467,0,0.7762801337321837,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_off,0.3,0.5,greedy_valid_gt_first_coco_crowd,10899,5020,1597,0,0.767130036952314,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_off,0.35,0.25,greedy_valid_gt_first_coco_crowd,10742,4095,1754,0,0.7860095854827498,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_off,0.35,0.5,greedy_valid_gt_first_coco_crowd,10649,4188,1847,0,0.7792046244466396,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_off,0.4,0.25,greedy_valid_gt_first_coco_crowd,10436,3377,2060,0,0.7933406818959291,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_off,0.4,0.5,greedy_valid_gt_first_coco_crowd,10360,3453,2136,0,0.7875631913033563,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_off,0.5,0.25,greedy_valid_gt_first_coco_crowd,9704,2346,2792,0,0.7906787256579484,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_off,0.5,0.5,greedy_valid_gt_first_coco_crowd,9672,2378,2824,0,0.7880713761916401,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_on,0.1,0.25,greedy_valid_gt_first_coco_crowd,11903,11079,593,1689,0.671007384858222,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_on,0.1,0.5,greedy_valid_gt_first_coco_crowd,11663,11319,833,1689,0.6574778736118158,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_on,0.15,0.25,greedy_valid_gt_first_coco_crowd,11687,8278,809,1087,0.7200640768922707,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_on,0.15,0.5,greedy_valid_gt_first_coco_crowd,11478,8484,1018,1090,0.7072524493191201,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_on,0.2,0.25,greedy_valid_gt_first_coco_crowd,11478,6564,1018,737,0.7517191695592377,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_on,0.2,0.5,greedy_valid_gt_first_coco_crowd,11285,6755,1211,739,0.739127587110296,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_on,0.25,0.25,greedy_valid_gt_first_coco_crowd,11272,5387,1224,514,0.7732464414337163,548
visdrone,visdrone_control_asd1280,absolute,24.0,exclude_source_ignore_on,0.25,0.5,greedy_valid_gt_first_coco_crowd,11109,5548,1387,516,0.7621171063012383,548
