scale_mode,scale_threshold,small_object_policy,confidence,iou,candidate_a,candidate_b,f1_difference_a_minus_b
absolute,16.0,exclude_source_ignore_on,0.1,0.25,visdrone_control_baseline1280,visdrone_control_yolo11m_hf640,-0.1465217380436833
absolute,16.0,exclude_source_ignore_on,0.1,0.25,visdrone_control_baseline1280,visdrone_control_yolo11n_p2_1280,-0.05321148610842874
absolute,16.0,exclude_source_ignore_on,0.1,0.25,visdrone_control_baseline640,visdrone_control_yolo11m_hf640,-0.13070933360312254
absolute,16.0,exclude_source_ignore_on,0.1,0.25,visdrone_control_baseline640,visdrone_control_yolo11n_p2_1280,-0.037399081667867984
absolute,16.0,exclude_source_ignore_on,0.1,0.25,visdrone_control_yolo11m_hf640,visdrone_control_yolo11n_p2_1280,0.09331025193525455
absolute,16.0,exclude_source_ignore_on,0.1,0.5,visdrone_control_asd1280,visdrone_control_baseline1280,0.06584424673999256
absolute,16.0,exclude_source_ignore_on,0.1,0.5,visdrone_control_asd1280,visdrone_control_baseline640,0.06976096661449604
absolute,16.0,exclude_source_ignore_on,0.1,0.5,visdrone_control_asd1280,visdrone_control_yolo11m_hf640,-0.08224203527554663
absolute,16.0,exclude_source_ignore_on,0.1,0.5,visdrone_control_asd1280,visdrone_control_yolo11n_p2_1280,0.0031514184835609305
absolute,16.0,exclude_source_ignore_on,0.1,0.5,visdrone_control_baseline1280,visdrone_control_baseline640,0.003916719874503483
absolute,16.0,exclude_source_ignore_on,0.1,0.5,visdrone_control_baseline1280,visdrone_control_yolo11m_hf640,-0.1480862820155392
absolute,16.0,exclude_source_ignore_on,0.1,0.5,visdrone_control_baseline1280,visdrone_control_yolo11n_p2_1280,-0.06269282825643163
absolute,16.0,exclude_source_ignore_on,0.1,0.5,visdrone_control_baseline640,visdrone_control_yolo11m_hf640,-0.15200300189004268
absolute,16.0,exclude_source_ignore_on,0.1,0.5,visdrone_control_baseline640,visdrone_control_yolo11n_p2_1280,-0.06660954813093511
absolute,16.0,exclude_source_ignore_on,0.1,0.5,visdrone_control_yolo11m_hf640,visdrone_control_yolo11n_p2_1280,0.08539345375910756
absolute,16.0,exclude_source_ignore_on,0.15,0.25,visdrone_control_asd1280,visdrone_control_baseline1280,0.05318474236743442
absolute,16.0,exclude_source_ignore_on,0.15,0.25,visdrone_control_asd1280,visdrone_control_baseline640,0.041841800718511846
absolute,16.0,exclude_source_ignore_on,0.15,0.25,visdrone_control_asd1280,visdrone_control_yolo11m_hf640,-0.06297952833242515
absolute,16.0,exclude_source_ignore_on,0.15,0.25,visdrone_control_asd1280,visdrone_control_yolo11n_p2_1280,0.00545020981065758
absolute,16.0,exclude_source_ignore_on,0.15,0.25,visdrone_control_baseline1280,visdrone_control_baseline640,-0.011342941648922578
absolute,16.0,exclude_source_ignore_on,0.15,0.25,visdrone_control_baseline1280,visdrone_control_yolo11m_hf640,-0.11616427069985957
